login1,login2
10188317,19632021
10188317,21429269
10463318,21429269
10469956,21429269
10632840,21429269
10642035,19632021
11154073,13726705
11412193,21429269
12720206,21429269
12959850,21429269
12978359,22216752
12978359,27660410
13017477,27334257
13469317,21429269
13726705,14811315
13726705,21429269
13726705,26354078
13726705,26429689
13726705,26484345
13726705,27280290
13726705,27405430
13726705,27548586
13726705,27658678
13726705,27794215
13726705,27841595
13726705,28065303
14106781,24229290
14357571,27104114
14357571,27836312
14576936,16603024
14576936,16707242
14576936,17673087
14576936,20056471
14576936,20509575
14576936,21004407
14576936,22642193
14576936,24003658
14576936,24046813
14576936,24142366
14576936,24230742
14576936,24445361
14576936,24663982
14576936,25415061
14576936,25535739
14576936,25850118
14576936,26705260
14576936,27282465
14576936,27288735
14576936,27331121
14576936,27471378
14576936,27540022
14576936,27637243
14576936,27792497
14576936,27946434
14576936,28032181
14576936,28088842
14767292,21429269
14893648,21429269
15328529,21429269
15830007,21429269
16445312,19632021
16456122,21429269
16456122,27519453
16456575,21429269
16603024,21429269
16634438,21429269
16707242,21429269
16735872,21429269
16843777,23618765
17242465,27334257
17428374,21429269
17459633,21429269
17516845,21429269
17673087,21429269
17732027,21429269
17908375,21429269
17908375,25810525
18103977,21429269
18249630,27104114
18384392,27104114
18506175,21429269
18551738,21429269
18728163,21429269
18846840,21429269
18854461,27334257
18859280,24864626
18990299,21429269
19181626,19632021
19563963,21429269
19583312,27694810
19632021,21133555
19632021,21421592
19632021,21429269
19632021,23175499
19632021,23714651
19632021,24298823
19632021,24382206
19632021,24573638
19632021,24964163
19632021,24987388
19632021,25590328
19632021,25609185
19632021,25674825
19632021,26526129
19632021,26813211
19632021,26847761
19632021,27204907
19632021,27264107
19632021,27641508
19632021,27660375
19632021,27836312
19632021,27844092
19632021,28061476
19632021,28062079
19632021,28086189
19632021,28141070
19907089,27104114
20056471,21429269
20305730,21429269
20548741,21429269
20687326,21429269
20848517,26004003
20848517,27104114
20903273,21429269
20978254,21429269
21009495,21429269
21106325,27836312
21131853,27431440
21175173,21429269
21254007,21429269
21269119,21429269
21429269,21498160
21429269,21585785
21429269,21681368
21429269,21849140
21429269,22517467
21429269,22532456
21429269,23175499
21429269,23288966
21429269,23322444
21429269,23360841
21429269,23573685
21429269,23678725
21429269,23725638
21429269,23776727
21429269,23816584
21429269,23934064
21429269,24015833
21429269,24015843
21429269,24015850
21429269,24016072
21429269,24016224
21429269,24039500
21429269,24046813
21429269,24106457
21429269,24217755
21429269,24230742
21429269,24320490
21429269,24382206
21429269,24552092
21429269,24572424
21429269,24620277
21429269,24641704
21429269,24663982
21429269,24708059
21429269,24718014
21429269,24727503
21429269,24768331
21429269,24771517
21429269,24877937
21429269,24960979
21429269,24967000
21429269,24979676
21429269,24990938
21429269,24997662
21429269,25114468
21429269,25115250
21429269,25143854
21429269,25149229
21429269,25171551
21429269,25174908
21429269,25241468
21429269,25248118
21429269,25287013
21429269,25348312
21429269,25367938
21429269,25377777
21429269,25412141
21429269,25453812
21429269,25479549
21429269,25485345
21429269,25521070
21429269,25535739
21429269,25565264
21429269,25590328
21429269,25646056
21429269,25672756
21429269,25680585
21429269,25702908
21429269,25714894
21429269,25757949
21429269,25775713
21429269,25775902
21429269,25844751
21429269,25890818
21429269,25904756
21429269,25933390
21429269,25934222
21429269,26004003
21429269,26006530
21429269,26028276
21429269,26044800
21429269,26115121
21429269,26123856
21429269,26256736
21429269,26261200
21429269,26272969
21429269,26412197
21429269,26436600
21429269,26485964
21429269,26498763
21429269,26569330
21429269,26591326
21429269,26618882
21429269,26620479
21429269,26643070
21429269,26643385
21429269,26683125
21429269,26727192
21429269,26728801
21429269,26736883
21429269,26745044
21429269,26756846
21429269,26775637
21429269,26799275
21429269,26799772
21429269,26819176
21429269,26922688
21429269,26958561
21429269,26972005
21429269,26990427
21429269,27006392
21429269,27007312
21429269,27015889
21429269,27049399
21429269,27102792
21429269,27155974
21429269,27223651
21429269,27297927
21429269,27313784
21429269,27325123
21429269,27340106
21429269,27340953
21429269,27354779
21429269,27418683
21429269,27429900
21429269,27430088
21429269,27431440
21429269,27432789
21429269,27471378
21429269,27475640
21429269,27482666
21429269,27540022
21429269,27551991
21429269,27562680
21429269,27579012
21429269,27597778
21429269,27611002
21429269,27626883
21429269,27660410
21429269,27676427
21429269,27690572
21429269,27691173
21429269,27698124
21429269,27711280
21429269,27711544
21429269,27761307
21429269,27764062
21429269,27802484
21429269,27834816
21429269,27836312
21429269,27852174
21429269,27878047
21429269,27899284
21429269,27902172
21429269,27919847
21429269,27920515
21429269,27933922
21429269,27934138
21429269,27946734
21429269,27948567
21429269,27949990
21429269,27952734
21429269,27979658
21429269,27988986
21429269,28017738
21429269,28020181
21429269,28040212
21429269,28074060
21429269,28078448
21429269,28082385
21429269,28083304
21429269,28087981
21429269,28091900
21429269,28097638
21429269,28100959
21429269,28107980
21429269,28109082
21429269,28109839
21429269,28115036
21429269,28116744
21429269,28119882
21429269,28136440
21429269,28138889
21429269,28139532
21429269,28141704
21429269,28146426
21429269,28149426
21429269,28152945
21429269,28164348
21772659,27475640
22216752,24860804
22216752,26632812
22579988,27104114
23026007,27334257
23065148,27836312
23175499,26004003
23229964,26004003
23423711,27104114
23618765,24559077
23739512,25174908
23816584,27519453
23901799,27104114
23901799,27836312
24009548,26004003
24032751,27104114
24142366,27104114
24142366,27836312
24142927,27104114
24142927,27836312
24217755,27519453
24229290,25890129
24229290,27104114
24229290,27836312
24298823,27104114
24337129,27104114
24675935,26004003
24727503,27519453
24860804,27660410
24864626,27493122
24987388,27694810
24991829,27836312
25108437,27104114
25108437,27836312
25115250,27519453
25209533,27104114
25209533,27836312
25412141,27104114
25472570,27104114
25472570,27836312
25525445,27219232
25525445,27431440
25528679,27334257
25680585,25810525
25810525,26261200
25810525,27764062
25810525,27920515
25810525,28083304
25810525,28087981
25810525,28091900
25810525,28139532
25889117,27104114
25889831,27540022
25971460,26647866
26004003,26052288
26004003,26111956
26004003,26171814
26004003,26176600
26004003,26860634
26004003,27334257
26004003,27505176
26008030,26683125
26176600,27431440
26271966,27104114
26271966,28158159
26286906,27104114
26353710,26683125
26372020,27104114
26372020,28158159
26456068,27104114
26496936,26683125
26496936,27104114
26496936,27981346
26496936,28158159
26526129,26591326
26568868,27104114
26591326,27280290
26632812,27816497
26642716,27334257
26647866,27789822
26647866,28084166
26647866,28095455
26647866,28121490
26647866,28163429
26683125,26713176
26683125,26735901
26683125,27070952
26683125,27769960
26683125,27789915
26683125,28003763
26683125,28100863
26683125,28169576
26718231,27836312
27007312,27519453
27054283,27334257
27082128,28091900
27104114,27642542
27104114,27755763
27104114,27815405
27155974,27519453
27219232,28003763
27223651,27836312
27323946,27865391
27334257,27605086
27334257,28111703
27336321,27432789
27417732,28003763
27463222,27475640
27493122,28041850
27519453,27660410
27621833,27981346
27642542,27981346
27642542,28158159
27694810,27865391
27755763,28158159
27775449,27981346
27789822,28084166
27789822,28095455
27789822,28121490
27789822,28163429
27789915,28164348
27803093,27836312
27815405,28158159
27825056,27981346
27836312,27875508
27865391,28152945
28084166,28095455
28084166,28121490
28084166,28163429
28095455,28121490
28095455,28163429
28121490,28163429
300049896,301365755
300083510,301296035
300263562,301242166
300322956,301307329
300593691,301339879
300715460,301255441
300715460,301342997
300715460,301361523
300737946,301029074
300791095,301242166
300808609,301139903
300809984,301057279
300809984,301307329
300859638,301230011
300859638,301295809
300936112,301227926
300936112,301316542
300999735,301242166
301016484,301365755
301029074,301139903
301029074,301254412
301029074,301302739
301029074,301308386
301029074,301339140
301029074,301362782
301042022,301339879
301042879,301369569
301061276,301216363
301061276,301339140
301061276,301340153
301062126,301139903
301063343,301242166
301063343,301277224
301063343,301277348
301063343,301308386
301071467,301307329
301094174,301249711
301109393,301242166
301133947,301242166
301139903,301190832
301139903,301227926
301139903,301254412
301139903,301296035
301139903,301310292
301139903,301352011
301139903,301357548
301139903,301365064
301139903,301365406
301139903,301370325
301171871,301365755
301173410,301306441
301173410,301343225
301173414,301339879
301183219,301242166
301189937,301370233
301202669,301339879
301202972,301308386
301204072,301307329
301211615,301307329
301227926,301307329
301230011,301327462
301230011,301333164
301235847,301337483
301235847,301339879
301238178,301307329
301242166,301295792
301242166,301320720
301242166,301337811
301242166,301339330
301242166,301344394
301242166,301348438
301242166,301349061
301242166,301359277
301242166,301359621
301242166,301360046
301242166,301366561
301242166,301368606
301249711,301304867
301249711,301309524
301249711,301316944
301249711,301329798
301249711,301342567
301249711,301348325
301249711,301370233
301254412,301307329
301254412,301339879
301256354,301355066
301277224,301306441
301277224,301318725
301277224,301339330
301277224,301349061
301277348,301299078
301277348,301339330
301277348,301349061
301278600,301365755
301278832,301339879
301293080,301307329
301296035,301303463
301296035,301339879
301296035,301349936
301296251,301365755
301303796,301365755
301306441,301339140
301306441,301348189
301306441,301353491
301306441,301370233
301307329,301310292
301307329,301338735
301307329,301342348
301307329,301346533
301307329,301348637
301307329,301355611
301307329,301360046
301307329,301362782
301307329,301364537
301307329,301369284
301307329,301370060
301307329,301370636
301308386,301320720
301308386,301339330
301308386,301355066
301310292,301348189
301316542,301349772
301333164,301365755
301337483,301370233
301338735,301339879
301338750,301365755
301339879,301355066
301339879,301365064
301342588,301365755
301344947,301365755
301348189,301352011
301348189,301357548
301355794,301365755
301356200,301365755
301356916,301365755
301358418,301365755
301358880,301365755
301359275,301365755
301365755,301369385
301370233,301371165
